id,source,target,mainStat,value
edge1,web_hipercor,nav,,1
edge2,nav,msh3_web,,1
edge3,nav,msh3_typeahead,,1
edge4,nav,msh3_cart,,1
edge5,msh3_web,namespace_front,,1
edge6,msh3_typeahead,namespace_front,,1
edge7,msh3_cart,namespace_front,,1
edge8,msh3_custom,namespace_front,,1
edge9,msh3_stock,namespace_front,,1
edge10,namespace_front,aks,,1
edge11,aks,kafka_brokers,,1
edge12,kafka_brokers,kafka_topics,,1
edge13,kafka_topics,msh3_firefly,,1
edge14,kafka_topics,msh3_kafka_cat,,1
edge15,kafka_topics,msh3_manager,,1
edge16,msh3_firefly,mongo_cloud,,1
edge17,msh3_manager,mongo_cloud,,1
edge18,aks,wso2_cloud,,1
edge19,aks,zscaler,,1
edge20,msh3_custom,mongo_cloud,,1
edge21,msh3_stock,mongo_onprem,,1
edge22,data_update,kafka_topics,,1
edge23,kafka_topics,schema_registry,,1
