id,title,subTitle,detail,grupo,color
web_hipercor,Web Hipercor,Aplicación,Frontend web,Aplicación,yellow
nav,Navegación,Flujo de sistema,,Flujos,orange
data_update,Actualización de entidades de Datos,Flujo de sistema,,Flujos,orange
msh3_web,msh3-hipercor-web,Servicio API,Navegación,Componentes de aplicación,green
msh3_typeahead,msh3-hipercor-api-typeahead,Servicio API,Navegación,Componentes de aplicación,green
msh3_cart,msh3-hipercor-api-cart,Servicio API,Navegación,Componentes de aplicación,green
msh3_custom,msh3-hipercor-api-custom,Servicio API,Datos,Componentes de aplicación,green
msh3_stock,msh3-hipercor-api-stock,Servicio API,Datos,Componentes de aplicación,green
msh3_firefly,msh3-hipercor-dat-firefly,Servicio datos,,Componentes de aplicación,green
msh3_kafka_cat,msh3-hipercor-dat-kafka-cat,Servicio datos,,Componentes de aplicación,green
msh3_manager,msh3-hipercor-dat-manager,Servicio datos,,Componentes de aplicación,green
kafka_topics,Kafka topics,Kafka,,Componentes de aplicación,purple
schema_registry,Schema-registry,Kafka,,Componentes de aplicación,purple
kafka_brokers,Kafka-brokers,Kafka,,Componentes de aplicación,purple
wso2_cloud,Cloud WSO2 Gateway,Gateway API,,Infraestructura,blue
wso2_onprem,On-prem WSO2 Gateway,Gateway API,,Infraestructura,blue
namespace_front,Namespace: front-msh3-hipercor,AKS namespace,,Infraestructura,blue
kv,kv-qh1-msh3-hipercor,Key Vault,,Infraestructura,blue
aks,aks-pro06-wdm000-01,Cluster AKS,,Infraestructura,blue
zscaler,zscaler: zsaplic.eci.geci:80,Proxy,,Infraestructura,blue
mongo_cloud,MongoDB Cloud,Base de datos,,Infraestructura,blue
mongo_onprem,MongoDB onprem,Base de datos,,Infraestructura,blue
